iter	Passed	Remaining
631	1206	702
632	1207	699
633	1208	697
634	1209	694
635	1209	692
636	1210	689
637	1210	687
638	1211	684
639	1212	681
640	1212	679
641	1213	676
642	1215	674
643	1217	672
644	1218	670
645	1219	668
646	1220	665
647	1220	663
648	1221	660
649	1222	658
650	1223	655
651	1223	653
652	1224	650
653	1225	648
654	1225	645
655	1226	643
656	1226	640
657	1227	637
658	1229	636
659	1230	633
660	1231	631
661	1233	629
662	1233	627
663	1234	624
664	1235	622
665	1236	620
666	1237	617
667	1237	615
668	1238	612
669	1239	610
670	1239	607
671	1240	605
672	1240	602
673	1241	600
674	1242	598
675	1244	596
676	1245	594
677	1247	592
678	1248	590
679	1248	587
680	1249	585
681	1250	582
682	1251	580
683	1252	578
684	1252	576
685	1253	573
686	1253	571
687	1254	568
688	1255	566
689	1255	564
690	1256	561
691	1256	559
692	1258	557
693	1259	555
694	1261	553
695	1262	551
696	1263	549
697	1264	547
698	1265	544
699	1266	542
700	1266	540
701	1267	538
702	1268	535
703	1268	533
704	1269	531
705	1269	528
706	1270	526
707	1271	524
708	1271	521
709	1273	520
710	1275	518
711	1276	516
712	1277	514
713	1278	512
714	1279	509
715	1280	507
716	1280	505
717	1281	503
718	1282	501
719	1283	499
720	1283	496
721	1284	494
722	1284	492
723	1285	490
724	1286	487
725	1286	485
726	1288	483
727	1289	481
728	1291	480
729	1292	478
730	1293	476
731	1294	473
732	1295	471
733	1296	469
734	1296	467
735	1297	465
736	1299	463
737	1300	461
738	1302	459
739	1303	458
740	1304	455
741	1305	453
742	1306	451
743	1306	449
744	1307	447
745	1308	445
746	1309	443
747	1310	441
748	1310	439
749	1311	437
750	1313	435
751	1316	434
752	1320	433
753	1321	431
754	1322	429
755	1322	426
756	1323	424
757	1325	423
758	1327	421
759	1330	420
760	1332	418
761	1333	416
762	1334	414
763	1335	412
764	1337	410
765	1338	408
766	1339	407
767	1340	405
768	1341	402
769	1342	400
770	1345	399
771	1347	397
772	1348	396
773	1349	394
774	1350	392
775	1351	390
776	1352	388
777	1352	386
778	1353	384
779	1354	382
780	1355	380
781	1356	378
782	1357	376
783	1359	374
784	1360	372
785	1363	371
786	1364	369
787	1365	367
788	1365	365
789	1366	363
790	1367	361
791	1367	359
792	1368	357
793	1369	355
794	1370	353
795	1371	351
796	1371	349
797	1374	347
798	1375	345
799	1378	344
800	1379	342
801	1379	340
802	1380	338
803	1381	336
804	1382	334
805	1382	332
806	1383	330
807	1384	328
808	1384	326
809	1385	324
810	1386	323
811	1386	321
812	1389	319
813	1390	317
814	1392	316
815	1393	314
816	1393	312
817	1394	310
818	1395	308
819	1395	306
820	1397	304
821	1398	302
822	1399	300
823	1399	299
824	1400	297
825	1402	295
826	1405	293
827	1407	292
828	1408	290
829	1409	288
830	1410	286
831	1411	285
832	1412	283
833	1413	281
834	1413	279
835	1414	277
836	1415	275
837	1415	273
838	1418	272
839	1419	270
840	1421	268
841	1422	266
842	1422	264
843	1423	263
844	1424	261
845	1425	259
846	1425	257
847	1426	255
848	1427	253
849	1427	251
850	1428	250
851	1428	248
852	1429	246
853	1432	244
854	1433	243
855	1435	241
856	1436	239
857	1437	237
858	1437	236
859	1438	234
860	1439	232
861	1440	230
862	1441	228
863	1441	226
864	1442	225
865	1443	223
866	1443	221
867	1444	219
868	1447	218
869	1449	216
870	1450	214
871	1451	213
872	1451	211
873	1452	209
874	1453	207
875	1454	205
876	1454	204
877	1455	202
878	1456	200
879	1456	198
880	1457	196
881	1457	195
882	1458	193
883	1459	191
884	1461	189
885	1465	188
886	1466	186
887	1467	185
888	1467	183
889	1468	181
890	1469	179
891	1470	178
892	1471	176
893	1472	174
894	1473	172
895	1473	171
896	1475	169
897	1477	167
898	1480	166
899	1481	164
900	1481	162
901	1482	161
902	1483	159
903	1483	157
904	1484	155
905	1485	154
906	1486	152
907	1486	150
908	1487	148
909	1487	147
910	1488	145
911	1488	143
912	1490	142
913	1495	140
914	1496	139
915	1497	137
916	1498	135
917	1499	133
918	1500	132
919	1500	130
920	1501	128
921	1502	127
922	1502	125
923	1503	123
924	1503	121
925	1506	120
926	1507	118
927	1509	117
928	1510	115
929	1511	113
930	1512	112
931	1512	110
932	1513	108
933	1514	107
934	1515	105
935	1515	103
936	1516	101
937	1516	100
938	1517	98
939	1518	96
940	1518	95
941	1522	93
942	1524	92
943	1525	90
944	1526	88
945	1526	87
946	1527	85
947	1528	83
948	1529	82
949	1529	80
950	1530	78
951	1531	77
952	1531	75
953	1532	73
954	1533	72
955	1533	70
956	1536	69
957	1537	67
958	1539	65
959	1540	64
960	1541	62
961	1542	60
962	1543	59
963	1543	57
964	1544	56
965	1545	54
966	1545	52
967	1546	51
968	1546	49
969	1547	47
970	1548	46
971	1550	44
972	1551	43
973	1554	41
974	1555	39
975	1556	38
976	1557	36
977	1557	35
978	1558	33
979	1559	31
980	1560	30
981	1560	28
982	1561	27
983	1562	25
984	1562	23
985	1563	22
986	1563	20
987	1566	19
988	1567	17
989	1569	15
990	1570	14
991	1571	12
992	1571	11
993	1572	9
994	1573	7
995	1574	6
996	1574	4
997	1575	3
998	1576	1
999	1576	0
